Fecha,Pedido,Ingresos Netos
2025-03-25,1242,"$173,500"
2025-03-25,1240,"$40,000"
2025-03-24,1235,"$202,000"
2025-03-24,1233,"$62,000"
2025-03-24,1231,"$52,000"
2025-03-24,1229,"$99,000"
2025-03-24,1227,"$26,000"
2025-03-23,1224,"$98,000"
2025-03-23,1222,"$56,000"
2025-03-23,1220,"$74,000"
2025-03-23,1218,"$32,000"
2025-03-23,1216,"$261,000"
2025-03-23,1214,"$18,000"
2025-03-23,1210,"$94,000"
2025-03-23,1208,"$60,000"
2025-03-23,1206,"$88,000"
2025-03-23,1204,"$83,000"
2025-03-23,1202,"$25,000"
2025-03-23,1200,"$25,000"
2025-03-23,1196,"$5,000"
2025-03-23,1194,"$90,000"
2025-03-23,1191,"$45,000"
2025-03-23,1189,"$155,000"
2025-03-22,1186,"$43,000"
2025-03-22,1184,"$25,000"
2025-03-22,1182,"$21,000"
2025-03-22,1180,"$51,000"
2025-03-22,1178,"$75,000"
2025-03-22,1176,"$24,000"
2025-03-22,1174,"$116,000"
2025-03-22,1172,"$20,000"
2025-03-22,1170,"$114,000"
2025-03-22,1168,"$100,000"
2025-03-22,1166,"$46,000"
2025-03-22,1164,"$63,000"
2025-03-22,1162,"$87,000"
2025-03-21,1158,"$10,000"
2025-03-21,1156,"$113,000"
2025-03-21,1154,"$75,000"
2025-03-21,1152,"$81,000"
2025-03-21,1150,"$80,000"
2025-03-21,1147,"$25,000"
2025-03-20,1142,"$15,000"
2025-03-20,1140,"$140,000"
2025-03-20,1138,"$98,000"
2025-03-20,1136,"$60,000"
2025-03-20,1134,"$85,000"
2025-03-20,1132,"$48,000"
2025-03-20,1130,"$3,000"
2025-03-20,1128,"$76,000"
2025-03-20,1126,"$94,000"
2025-03-20,1124,"$1,000"
2025-03-20,1122,"$18,000"
2025-03-20,1120,"$60,000"
2025-03-19,1117,"$98,000"
2025-03-19,1115,"$102,000"
2025-03-19,1113,"$43,000"
2025-03-19,1111,"$97,000"
2025-03-19,1108,"$38,000"
2025-03-19,1106,"$3,000"
2025-03-18,1102,"$98,000"
2025-03-17,1097,"$3,000"
2025-03-17,1095,"$52,000"
2025-03-17,1093,"$42,500"
2025-03-17,1091,"$64,000"
2025-03-16,1084,"$35,000"
2025-03-16,1082,"$71,000"
2025-03-16,1080,"$35,500"
2025-03-16,1078,"$22,000"
2025-03-16,1076,"$103,000"
2025-03-16,1074,"$68,000"
2025-03-16,1072,"$75,000"
2025-03-16,1070,"$58,000"
2025-03-16,1068,"$44,000"
2025-03-16,1066,"$65,000"
2025-03-16,1064,"$109,000"
2025-03-16,1062,"$29,000"
2025-03-16,1060,"$25,000"
2025-03-16,1058,"$76,000"
2025-03-16,1056,"$108,000"
2025-03-16,1054,"$45,000"
2025-03-15,1050,"$144,000"
2025-03-15,1048,"$10,000"
2025-03-15,1046,"$152,000"
2025-03-15,1044,"$53,000"
2025-03-15,1042,"$79,000"
2025-03-15,1040,"$44,000"
2025-03-15,1038,"$75,000"
2025-03-15,1036,"$38,000"
2025-03-15,1034,"$48,000"
2025-03-15,1032,"$3,000"
2025-03-14,1028,"$58,000"
2025-03-14,1026,"$60,000"
2025-03-14,1024,"$51,000"
2025-03-14,1022,"$148,000"
2025-03-13,1018,"$69,000"
2025-03-12,1014,"$33,000"
2025-03-12,1012,"$84,000"
2025-03-12,1010,"$47,000"
2025-03-12,1008,"$18,000"
2025-03-11,1003,"$54,000"
2025-03-11,1001,"$44,000"
2025-03-11,999,"$25,000"
2025-03-10,994,"$64,000"
2025-03-10,992,"$43,000"
2025-03-10,990,"$20,000"
2025-03-09,986,"$18,500"
2025-03-09,984,"$85,000"
2025-03-09,982,"$131,000"
2025-03-09,980,"$33,000"
2025-03-09,978,"$122,000"
2025-03-09,976,"$25,000"
2025-03-09,974,"$54,000"
2025-03-09,971,"$31,000"
2025-03-09,969,"$25,000"
2025-03-09,967,"$4,000"
2025-03-09,965,"$5,000"
2025-03-09,963,"$3,000"
2025-03-09,961,"$63,000"
2025-03-09,959,"$66,500"
2025-03-09,957,"$26,000"
2025-03-09,955,"$4,000"
2025-03-09,953,"$53,000"
2025-03-09,951,"$424,000"
2025-03-09,949,"$26,000"
2025-03-09,947,"$35,000"
2025-03-08,942,"$33,000"
2025-03-08,940,"$77,000"
2025-03-08,938,"$4,000"
2025-03-08,936,"$56,000"
2025-03-08,934,"$192,000"
2025-03-08,932,"$77,000"
2025-03-08,930,"$78,000"
2025-03-08,928,"$103,000"
2025-03-08,926,"$109,000"
2025-03-08,924,"$90,000"
2025-03-08,922,"$44,000"
2025-03-08,920,"$83,000"
2025-03-08,918,"$69,000"
2025-03-08,916,"$200,000"
2025-03-08,914,"$71,000"
2025-03-08,912,"$65,000"
2025-03-08,910,"$43,000"
2025-03-08,908,"$48,000"
2025-03-08,906,"$36,000"
2025-03-08,904,"$78,000"
2025-03-08,902,"$39,000"
2025-03-08,900,"$78,000"
2025-03-08,898,"$45,000"
2025-03-08,896,"$81,000"
2025-03-08,894,"$74,000"
2025-03-08,892,"$59,000"
2025-03-08,890,"$68,000"
2025-03-08,888,"$29,000"
2025-03-08,886,"$64,000"
2025-03-08,884,"$40,000"
2025-03-08,882,"$20,000"
2025-03-08,880,"$102,000"
2025-03-08,878,"$3,000"
2025-03-08,875,"$36,000"
2025-03-08,873,"$40,000"
2025-03-07,869,"$18,000"
2025-03-07,867,"$46,000"
2025-03-06,862,"$1,000"
2025-03-06,860,"$135,000"
2025-03-06,858,"$20,000"
2025-03-06,856,"$58,000"
2025-03-06,854,"$38,000"
2025-03-06,852,"$88,000"
2025-03-06,850,"$58,000"
2025-03-05,847,"$48,000"
2025-03-05,845,"$56,000"
2025-03-05,843,"$1,000"
2025-03-04,642,"$29,000"
2025-03-04,640,"$162,000"
2025-03-04,638,"$99,000"
2025-03-04,636,"$18,000"
2025-03-03,621,"$36,000"
2025-03-03,619,"$12,000"
2025-03-03,615,"$80,000"
2025-03-03,613,"$139,000"
2025-03-03,611,"$29,000"
2025-03-03,609,"$22,000"
2025-03-02,604,"$37,000"
2025-03-02,602,"$53,000"
2025-03-02,600,"$22,000"
2025-03-02,598,"$68,000"
2025-03-02,596,"$48,000"
2025-03-02,594,"$3,000"
2025-03-02,592,"$60,000"
2025-03-02,590,"$8,000"
2025-03-02,588,"$28,000"
2025-03-01,584,"$150,000"
2025-03-01,582,"$81,000"
2025-03-01,580,"$119,000"
2025-03-01,578,"$46,000"
2025-03-01,576,"$41,000"
2025-03-01,574,"$65,000"
2025-03-01,572,"$90,000"
2025-03-01,570,"$60,000"
2025-03-01,568,"$94,000"
2025-03-01,566,"$37,000"
2025-03-01,564,"$11,000"
2025-03-01,562,"$73,000"
2025-03-01,560,"$48,000"
2025-03-01,558,"$55,000"
2025-03-01,556,"$36,000"
2025-03-01,554,"$20,000"
